profile_mat,csv_out,status,stop_time_s,matread_s,simulate_s,extract_s,write_s,total_run_s,result_base
drum_profile_00910.mat,results_drum_profile_00910.csv,OK,200.000000,0.008002,1.979980,0.615992,0.035001,2.643975,run_00910
drum_profile_00911.mat,results_drum_profile_00911.csv,OK,200.000000,0.008000,2.013353,0.619992,0.035002,2.681345,run_00911
drum_profile_00912.mat,results_drum_profile_00912.csv,OK,200.000000,0.009002,1.994565,0.616054,0.033999,2.658617,run_00912
drum_profile_00913.mat,results_drum_profile_00913.csv,OK,200.000000,0.009001,2.037860,0.616060,0.034001,2.703924,run_00913
drum_profile_00914.mat,results_drum_profile_00914.csv,OK,200.000000,0.006999,2.044912,0.618111,0.033999,2.710887,run_00914
drum_profile_00915.mat,results_drum_profile_00915.csv,OK,200.000000,0.008000,2.000124,0.610989,0.035000,2.659112,run_00915
drum_profile_00916.mat,results_drum_profile_00916.csv,OK,200.000000,0.007999,1.996110,0.614994,0.035000,2.659101,run_00916
drum_profile_00917.mat,results_drum_profile_00917.csv,OK,200.000000,0.007998,2.020390,0.632129,0.034000,2.700577,run_00917
drum_profile_00918.mat,results_drum_profile_00918.csv,OK,200.000000,0.008001,2.059178,0.615992,0.033997,2.722169,run_00918
drum_profile_00919.mat,results_drum_profile_00919.csv,OK,200.000000,0.007002,2.018951,0.613049,0.034997,2.678998,run_00919
drum_profile_00920.mat,results_drum_profile_00920.csv,OK,200.000000,0.008004,1.979789,0.617115,0.034999,2.645904,run_00920
drum_profile_00921.mat,results_drum_profile_00921.csv,OK,200.000000,0.008000,1.869553,0.618323,0.034998,2.536876,run_00921
drum_profile_00922.mat,results_drum_profile_00922.csv,OK,200.000000,0.008999,2.042465,0.615174,0.034000,2.705638,run_00922
drum_profile_00923.mat,results_drum_profile_00923.csv,OK,200.000000,0.008003,2.044192,0.617139,0.034000,2.708334,run_00923
drum_profile_00924.mat,results_drum_profile_00924.csv,OK,200.000000,0.008998,2.009976,0.624991,0.035002,2.684968,run_00924
drum_profile_00925.mat,results_drum_profile_00925.csv,OK,200.000000,0.008001,1.996826,0.614094,0.033999,2.657920,run_00925
drum_profile_00926.mat,results_drum_profile_00926.csv,OK,200.000000,0.008197,2.047635,0.611356,0.033999,2.706989,run_00926
drum_profile_00927.mat,results_drum_profile_00927.csv,OK,200.000000,0.006004,2.043732,0.615201,0.034003,2.703940,run_00927
drum_profile_00928.mat,results_drum_profile_00928.csv,OK,200.000000,0.008002,1.850242,0.618007,0.041001,2.522255,run_00928
drum_profile_00929.mat,results_drum_profile_00929.csv,OK,200.000000,0.008003,2.030162,0.615994,0.033997,2.693126,run_00929
