t,drumAngleDeg,drumVelDeg_s,drumAccDeg_s2,TN2,dTN2,Tm,dTm,Thp,dThp,Tf,dTf,c[1],c[2],c[3],c[4],c[5],c[6],P_MW,n,dn,rho_dollars,rho_drums_dollars,rho_fuel_dollars,rho_moderator_dollars,m_dot_steam,Q_to_steam
151.10000610351562,45.629241943359375,0.03979023918509483,-0.0038447414990514517,873.5633544921875,0.07204136252403259,1142.5894775390625,0.10301198065280914,1066.345703125,0.1009448990225792,1165.7528076171875,0.07426977157592773,107.58264923095703,173.88589477539062,52.66681671142578,48.99604034423828,5.8909759521484375,0.8342504501342773,6.311695098876953,1.051949143409729,-0.011487324722111225,-0.001161105465143919,-0.07746951282024384,0.05114123597741127,0.02516716718673706,2.910903215408325,5926220.5
151.1999969482422,45.63322067260742,0.03940576687455177,-0.003866872051730752,873.570556640625,0.07168592512607574,1142.5997314453125,0.10190074890851974,1066.355712890625,0.10014990717172623,1165.7601318359375,0.07257742434740067,107.59521484375,173.9228057861328,52.655914306640625,48.9603385925293,5.884988307952881,0.8333477973937988,6.304805755615234,1.0508009195327759,-0.011491131968796253,-0.0017385248793289065,-0.07796206325292587,0.05109047517180443,0.02513306215405464,2.9109599590301514,5926336.5
151.3000030517578,45.63716125488281,0.03901907801628113,-0.0038433591835200787,873.5776977539062,0.07132040709257126,1142.60986328125,0.10078055411577225,1066.36572265625,0.09934302419424057,1165.767333984375,0.07088887691497803,107.60758972167969,173.95892333984375,52.64446258544922,48.92414474487305,5.878970623016357,0.8324440121650696,6.297915458679199,1.0496525764465332,-0.011491737328469753,-0.002309677889570594,-0.07844989001750946,0.051040880382061005,0.02509932778775692,2.9110164642333984,5926451.5
151.39999389648438,45.64106369018555,0.03863474354147911,-0.0038132506888359785,873.5848388671875,0.07094494998455048,1142.619873046875,0.0996517613530159,1066.3756103515625,0.0985245555639267,1165.7742919921875,0.06920447945594788,107.61978149414062,173.99427795410156,52.63247299194336,48.887474060058594,5.872925281524658,0.8315393328666687,6.291025638580322,1.0485042333602905,-0.011489922180771828,-0.0028745359741151333,-0.07893295586109161,0.0509924553334713,0.025065967813134193,2.9110727310180664,5926565.5
151.5,45.644927978515625,0.03825341910123825,-0.003821018384769559,873.5919189453125,0.07055970281362534,1142.6298828125,0.09851468354463577,1066.3853759765625,0.09769481420516968,1165.7811279296875,0.06752447783946991,107.63179016113281,174.02883911132812,52.61994552612305,48.850337982177734,5.866855144500732,0.8306340575218201,6.28413724899292,1.0473562479019165,-0.011486331932246685,-0.003433127189055085,-0.07941129803657532,0.05094518885016441,0.02503298595547676,2.9111287593841553,5926679.5
151.60000610351562,45.64875411987305,0.03787131607532501,-0.0037756008096039295,873.5989379882812,0.07016479969024658,1142.6396484375,0.09736962616443634,1066.3951416015625,0.09685409069061279,1165.787841796875,0.06584905833005905,107.64360809326172,174.06263732910156,52.60689163208008,48.8127555847168,5.860762119293213,0.8297284245491028,6.277251720428467,1.0462086200714111,-0.011481090448796749,-0.003985488787293434,-0.07988495379686356,0.05089908465743065,0.025000382214784622,2.911184310913086,5926792.5
151.6999969482422,45.65254211425781,0.0374937541782856,-0.0037354230880737305,873.60595703125,0.06976039707660675,1142.6492919921875,0.09621688723564148,1066.40478515625,0.09600268304347992,1165.7943115234375,0.0641784593462944,107.65524291992188,174.0956573486328,52.59331512451172,48.77473449707031,5.854648113250732,0.8288225531578064,6.270369529724121,1.0450615882873535,-0.011473738588392735,-0.004531610291451216,-0.08035390824079514,0.05085413530468941,0.024968162178993225,2.9112396240234375,5926905.0
151.8000030517578,45.656288146972656,0.037120211869478226,-0.0036827418953180313,873.6129150390625,0.06934665143489838,1142.6588134765625,0.09505677223205566,1066.414306640625,0.09514088183641434,1165.8006591796875,0.0625128522515297,107.66668701171875,174.12791442871094,52.5792236328125,48.73629379272461,5.848515510559082,0.8279167413711548,6.263492107391357,1.0439153909683228,-0.011465081013739109,-0.005071548279374838,-0.08081821352243423,0.05081034079194069,0.02493632584810257,2.911294460296631,5927017.0
151.89999389648438,45.660003662109375,0.036751940846443176,-0.0036076807882636786,873.6198120117188,0.0689237043261528,1142.6683349609375,0.09388954937458038,1066.423828125,0.09426897764205933,1165.806884765625,0.06085237115621567,107.67794799804688,174.15940856933594,52.56462478637695,48.69744873046875,5.8423662185668945,0.8270110487937927,6.25662088394165,1.0427701473236084,-0.011455069296061993,-0.005605352111160755,-0.08127792924642563,0.050767697393894196,0.024904878810048103,2.911349058151245,5927128.5
152.0,45.66367721557617,0.03639117255806923,-0.00366456201300025,873.626708984375,0.06849173456430435,1142.6776123046875,0.09271549433469772,1066.4332275390625,0.09338724613189697,1165.8128662109375,0.05919712781906128,107.68902587890625,174.1901397705078,52.54952621459961,48.658206939697266,5.8362016677856445,0.8261056542396545,6.249755382537842,1.0416258573532104,-0.011443939059972763,-0.006133088376373053,-0.0817331075668335,0.05072619765996933,0.024873819202184677,2.9114034175872803,5927239.0
