profile_mat,csv_out,status,stop_time_s,matread_s,simulate_s,extract_s,write_s,total_run_s,result_base
drum_profile_01783.mat,results_drum_profile_01783.csv,OK,200.000000,0.007997,2.188173,0.626995,0.036003,2.864168,run_01783
drum_profile_01784.mat,results_drum_profile_01784.csv,OK,200.000000,0.008996,2.050086,0.636995,0.034000,2.735076,run_01784
drum_profile_01785.mat,results_drum_profile_01785.csv,OK,200.000000,0.006999,2.200492,0.626993,0.035000,2.874484,run_01785
drum_profile_01786.mat,results_drum_profile_01786.csv,OK,200.000000,0.007000,2.054156,0.618997,0.034998,2.721152,run_01786
drum_profile_01787.mat,results_drum_profile_01787.csv,OK,200.000000,0.007998,2.158607,0.613991,0.035000,2.819600,run_01787
drum_profile_01788.mat,results_drum_profile_01788.csv,OK,200.000000,0.006999,2.184613,0.614994,0.033999,2.845606,run_01788
drum_profile_01789.mat,results_drum_profile_01789.csv,OK,200.000000,0.009001,2.169895,0.612998,0.033996,2.831889,run_01789
drum_profile_01790.mat,results_drum_profile_01790.csv,OK,200.000000,0.008000,2.269973,0.619996,0.035000,2.937969,run_01790
drum_profile_01791.mat,results_drum_profile_01791.csv,OK,200.000000,0.008003,2.262428,0.610995,0.035000,2.921426,run_01791
drum_profile_01792.mat,results_drum_profile_01792.csv,OK,200.000000,0.008003,2.145861,0.605998,0.033996,2.798859,run_01792
drum_profile_01793.mat,results_drum_profile_01793.csv,OK,200.000000,0.008001,2.081103,0.630995,0.034000,2.760099,run_01793
drum_profile_01794.mat,results_drum_profile_01794.csv,OK,200.000000,0.007999,2.201237,0.627997,0.037001,2.879234,run_01794
drum_profile_01795.mat,results_drum_profile_01795.csv,OK,200.000000,0.007000,2.289009,0.602997,0.033999,2.938002,run_01795
drum_profile_01796.mat,results_drum_profile_01796.csv,OK,200.000000,0.007998,2.116849,0.601995,0.034002,2.765844,run_01796
drum_profile_01797.mat,results_drum_profile_01797.csv,OK,200.000000,0.008002,2.055164,0.610993,0.034999,2.714159,run_01797
drum_profile_01798.mat,results_drum_profile_01798.csv,OK,200.000000,0.007000,2.260886,0.600995,0.035002,2.909884,run_01798
drum_profile_01799.mat,results_drum_profile_01799.csv,OK,200.000000,0.008000,2.167462,0.617995,0.034999,2.833457,run_01799
drum_profile_01800.mat,results_drum_profile_01800.csv,OK,200.000000,0.007000,2.241644,0.611995,0.034001,2.899637,run_01800
drum_profile_01801.mat,results_drum_profile_01801.csv,OK,200.000000,0.008000,2.155637,0.618995,0.037001,2.824633,run_01801
drum_profile_01802.mat,results_drum_profile_01802.csv,OK,200.000000,0.008000,2.180875,0.614997,0.033998,2.842869,run_01802
drum_profile_01803.mat,results_drum_profile_01803.csv,OK,200.000000,0.008000,2.191863,0.605993,0.034003,2.844862,run_01803
drum_profile_01804.mat,results_drum_profile_01804.csv,OK,200.000000,0.008003,2.178452,0.619991,0.033000,2.845447,run_01804
drum_profile_01805.mat,results_drum_profile_01805.csv,OK,200.000000,0.008001,2.200974,0.613996,0.037003,2.864974,run_01805
drum_profile_01806.mat,results_drum_profile_01806.csv,OK,200.000000,0.006996,2.188987,0.611994,0.034000,2.846976,run_01806
drum_profile_01807.mat,results_drum_profile_01807.csv,OK,200.000000,0.008002,2.227834,0.625997,0.033998,2.901831,run_01807
drum_profile_01808.mat,results_drum_profile_01808.csv,OK,200.000000,0.006996,2.391920,0.617996,0.033997,3.055908,run_01808
drum_profile_01809.mat,results_drum_profile_01809.csv,OK,200.000000,0.006996,2.186277,0.623993,0.034000,2.856269,run_01809
drum_profile_01810.mat,results_drum_profile_01810.csv,OK,200.000000,0.006999,2.201677,0.618995,0.034000,2.866671,run_01810
drum_profile_01811.mat,results_drum_profile_01811.csv,OK,200.000000,0.007003,2.191570,0.617994,0.035000,2.856567,run_01811
drum_profile_01812.mat,results_drum_profile_01812.csv,OK,200.000000,0.007000,2.195234,0.753993,0.034002,2.995229,run_01812
drum_profile_01813.mat,results_drum_profile_01813.csv,OK,200.000000,0.006999,2.173466,0.678995,0.034000,2.899461,run_01813
drum_profile_01814.mat,results_drum_profile_01814.csv,OK,200.000000,0.008000,2.192204,0.707996,0.033998,2.947198,run_01814
drum_profile_01815.mat,results_drum_profile_01815.csv,OK,200.000000,0.007000,2.189745,0.720994,0.033999,2.957742,run_01815
drum_profile_01816.mat,results_drum_profile_01816.csv,OK,200.000000,0.006999,2.260226,0.709994,0.033999,3.016217,run_01816
drum_profile_01817.mat,results_drum_profile_01817.csv,OK,200.000000,0.008000,2.180264,0.601995,0.035002,2.830260,run_01817
drum_profile_01818.mat,results_drum_profile_01818.csv,OK,200.000000,0.006998,2.065260,0.606994,0.034000,2.720256,run_01818
drum_profile_01819.mat,results_drum_profile_01819.csv,OK,200.000000,0.008000,2.167578,0.606992,0.034000,2.821571,run_01819
drum_profile_01820.mat,results_drum_profile_01820.csv,OK,200.000000,0.007022,2.066538,0.608994,0.033999,2.721556,run_01820
drum_profile_01821.mat,results_drum_profile_01821.csv,OK,200.000000,0.007000,2.216028,0.611996,0.033000,2.874022,run_01821
drum_profile_01822.mat,results_drum_profile_01822.csv,OK,200.000000,0.007003,2.057233,0.609995,0.034000,2.713229,run_01822
drum_profile_01823.mat,results_drum_profile_01823.csv,OK,200.000000,0.008000,2.167286,0.604992,0.035001,2.820282,run_01823
drum_profile_01824.mat,results_drum_profile_01824.csv,OK,200.000000,0.008000,2.227065,0.613992,0.034000,2.889060,run_01824
drum_profile_01825.mat,results_drum_profile_01825.csv,OK,200.000000,0.008012,2.064508,0.608995,0.034000,2.719512,run_01825
drum_profile_01826.mat,results_drum_profile_01826.csv,OK,200.000000,0.008000,2.059158,0.607997,0.033995,2.714169,run_01826
drum_profile_01827.mat,results_drum_profile_01827.csv,OK,200.000000,0.008003,2.284381,0.617995,0.035000,2.950380,run_01827
drum_profile_01828.mat,results_drum_profile_01828.csv,OK,200.000000,0.008002,2.038800,0.620996,0.034001,2.707799,run_01828
drum_profile_01829.mat,results_drum_profile_01829.csv,OK,200.000000,0.009001,2.136045,0.630995,0.034000,2.815041,run_01829
drum_profile_01830.mat,results_drum_profile_01830.csv,OK,200.000000,0.006997,2.207560,0.609996,0.034001,2.864554,run_01830
drum_profile_01831.mat,results_drum_profile_01831.csv,OK,200.000000,0.008002,2.048766,0.602996,0.033999,2.698762,run_01831
drum_profile_01832.mat,results_drum_profile_01832.csv,OK,200.000000,0.008001,2.196649,0.611999,0.033998,2.855645,run_01832
drum_profile_01833.mat,results_drum_profile_01833.csv,OK,200.000000,0.007000,2.195983,0.610996,0.034001,2.852979,run_01833
drum_profile_01834.mat,results_drum_profile_01834.csv,OK,200.000000,0.007998,2.024974,0.606996,0.034000,2.677964,run_01834
drum_profile_01835.mat,results_drum_profile_01835.csv,OK,200.000000,0.008000,2.106597,0.611994,0.034000,2.766591,run_01835
drum_profile_01836.mat,results_drum_profile_01836.csv,OK,200.000000,0.007999,2.205825,0.605993,0.035000,2.859820,run_01836
drum_profile_01837.mat,results_drum_profile_01837.csv,OK,200.000000,0.007003,2.170401,0.600992,0.034000,2.817395,run_01837
drum_profile_01838.mat,results_drum_profile_01838.csv,OK,200.000000,0.007000,2.188739,0.618995,0.034000,2.852733,run_01838
drum_profile_01839.mat,results_drum_profile_01839.csv,OK,200.000000,0.007003,4.403190,0.602993,0.033999,5.053188,run_01839
drum_profile_01840.mat,results_drum_profile_01840.csv,OK,200.000000,0.007000,2.061961,0.607995,0.034998,2.717954,run_01840
drum_profile_01841.mat,results_drum_profile_01841.csv,OK,200.000000,0.008000,2.202382,0.604992,0.035000,2.855378,run_01841
drum_profile_01842.mat,results_drum_profile_01842.csv,OK,200.000000,0.007000,2.023840,0.601998,0.034999,2.673836,run_01842
drum_profile_01843.mat,results_drum_profile_01843.csv,OK,200.000000,0.007000,2.207522,0.617996,0.033999,2.872517,run_01843
drum_profile_01844.mat,results_drum_profile_01844.csv,OK,200.000000,0.008000,2.077472,0.606996,0.035000,2.732467,run_01844
drum_profile_01845.mat,results_drum_profile_01845.csv,OK,200.000000,0.007000,2.209634,0.607994,0.035002,2.864630,run_01845
drum_profile_01846.mat,results_drum_profile_01846.csv,OK,200.000000,0.008002,2.181631,0.618995,0.035000,2.847625,run_01846
drum_profile_01847.mat,results_drum_profile_01847.csv,OK,200.000000,0.008000,2.057933,0.606994,0.034000,2.711929,run_01847
drum_profile_01848.mat,results_drum_profile_01848.csv,OK,200.000000,0.007999,2.185508,0.603995,0.035000,2.837505,run_01848
drum_profile_01849.mat,results_drum_profile_01849.csv,OK,200.000000,0.008002,2.181397,0.617994,0.034001,2.846395,run_01849
drum_profile_01850.mat,results_drum_profile_01850.csv,OK,200.000000,0.006999,2.174344,0.612014,0.033998,2.832385,run_01850
drum_profile_01851.mat,results_drum_profile_01851.csv,OK,200.000000,0.006996,2.280747,0.612993,0.034000,2.940741,run_01851
drum_profile_01852.mat,results_drum_profile_01852.csv,OK,200.000000,0.007000,2.206264,0.605996,0.034000,2.858258,run_01852
drum_profile_01853.mat,results_drum_profile_01853.csv,OK,200.000000,0.007000,2.063572,0.606996,0.033998,2.716567,run_01853
drum_profile_01854.mat,results_drum_profile_01854.csv,OK,200.000000,0.008000,2.186812,0.613998,0.033997,2.847808,run_01854
drum_profile_01855.mat,results_drum_profile_01855.csv,OK,200.000000,0.008000,2.071970,0.610995,0.034000,2.729962,run_01855
drum_profile_01856.mat,results_drum_profile_01856.csv,OK,200.000000,0.008003,2.525533,0.613995,0.034003,3.186532,run_01856
drum_profile_01857.mat,results_drum_profile_01857.csv,OK,200.000000,0.007998,2.057511,0.611995,0.033996,2.716501,run_01857
drum_profile_01858.mat,results_drum_profile_01858.csv,OK,200.000000,0.007997,2.204976,0.621995,0.034000,2.873968,run_01858
drum_profile_01859.mat,results_drum_profile_01859.csv,OK,200.000000,0.006999,2.174955,0.608992,0.034000,2.829950,run_01859
drum_profile_01860.mat,results_drum_profile_01860.csv,OK,200.000000,0.007000,2.193417,0.616995,0.037997,2.860410,run_01860
drum_profile_01861.mat,results_drum_profile_01861.csv,OK,200.000000,0.007999,2.190877,0.605993,0.034000,2.844869,run_01861
drum_profile_01862.mat,results_drum_profile_01862.csv,OK,200.000000,0.007002,2.061777,0.602998,0.038999,2.715774,run_01862
drum_profile_01863.mat,results_drum_profile_01863.csv,OK,200.000000,0.008001,2.222280,0.619999,0.033996,2.889275,run_01863
drum_profile_01864.mat,results_drum_profile_01864.csv,OK,200.000000,0.007000,2.204365,0.604993,0.033998,2.857361,run_01864
drum_profile_01865.mat,results_drum_profile_01865.csv,OK,200.000000,0.007999,2.039171,0.616995,0.034999,2.704164,run_01865
drum_profile_01866.mat,results_drum_profile_01866.csv,OK,200.000000,0.007002,2.262953,0.608999,0.033997,2.917950,run_01866
drum_profile_01867.mat,results_drum_profile_01867.csv,OK,200.000000,0.009000,2.074471,0.607995,0.034000,2.730466,run_01867
drum_profile_01868.mat,results_drum_profile_01868.csv,OK,200.000000,0.007003,2.046481,0.604996,0.034000,2.697480,run_01868
drum_profile_01869.mat,results_drum_profile_01869.csv,OK,200.000000,0.007997,2.185224,0.614997,0.033997,2.848214,run_01869
drum_profile_01870.mat,results_drum_profile_01870.csv,OK,200.000000,0.007998,2.189818,0.613995,0.033999,2.850811,run_01870
drum_profile_01871.mat,results_drum_profile_01871.csv,OK,200.000000,0.008000,2.187899,0.616997,0.033997,2.850894,run_01871
drum_profile_01872.mat,results_drum_profile_01872.csv,OK,200.000000,0.007001,2.163576,0.616034,0.035000,2.826615,run_01872
drum_profile_01873.mat,results_drum_profile_01873.csv,OK,200.000000,0.008001,2.084028,0.609993,0.035000,2.743024,run_01873
drum_profile_01874.mat,results_drum_profile_01874.csv,OK,200.000000,0.007000,2.216321,0.611994,0.034000,2.875316,run_01874
drum_profile_01875.mat,results_drum_profile_01875.csv,OK,200.000000,0.007998,2.213227,0.605995,0.033999,2.866220,run_01875
drum_profile_01876.mat,results_drum_profile_01876.csv,OK,200.000000,0.008000,2.195269,0.607996,0.034998,2.851263,run_01876
drum_profile_01877.mat,results_drum_profile_01877.csv,OK,200.000000,0.007998,2.214797,0.608995,0.035000,2.871787,run_01877
drum_profile_01878.mat,results_drum_profile_01878.csv,OK,200.000000,0.009000,2.212534,0.611997,0.033997,2.872528,run_01878
drum_profile_01879.mat,results_drum_profile_01879.csv,OK,200.000000,0.007998,2.145144,0.610994,0.033999,2.803135,run_01879
